Country,Access
Japan,193
Singapore,193
South Korea,192
Germany,191
Spain,191
Finland,190
Italy,190
Luxembourg,190
Austria,189
Denmark,189
Netherlands,189
Sweden,189
France,188
Ireland,188
Portugal,188
United Kingdom,188
Belgium,187
Czech Republic,187
New Zealand,187
Norway,187
Switzerland,187
United States,187
Australia,186
Canada,186
Greece,186
Malta,186
Hungary,185
Poland,185
Lithuania,184
Slovakia,184
Latvia,183
Slovenia,183
Estonia,182
Iceland,181
Malaysia,180
Liechtenstein,179
Cyprus,178
United Arab Emirates,178
Romania,176
Bulgaria,175
Chile,175
Croatia,175
Monaco,175
Hong Kong (SAR China),172
Argentina,171
Brazil,170
San Marino,170
Andorra,169
Brunei,167
Barbados,162
Israel,160
Mexico,160
St. Kitts and Nevis,156
Bahamas,155
Vatican City,154
Seychelles,153
Uruguay,153
St. Vincent and the Grenadines,151
Antigua and Barbuda,150
Costa Rica,150
Trinidad and Tobago,150
Mauritius,146
St. Lucia,146
Taiwan (Chinese Taipei),146
Grenada,145
Dominica,144
Macao (SAR China),144
Ukraine,144
Panama,143
Paraguay,141
Serbia,137
Peru,136
Colombia,133
Guatemala,133
Honduras,133
El Salvador,132
Samoa,131
Solomon Islands,131
Tonga,129
Venezuela,128
Nicaragua,127
Tuvalu,127
North Macedonia,125
Montenegro,124
Kiribati,123
Marshall Islands,122
Moldova,120
Palau Islands,119
Bosnia and Herzegovina,118
Micronesia,118
Russian Federation,118
Albania,116
Georgia,115
Türkiye,111
South Africa,106
Belize,102
Qatar,100
Kuwait,97
Vanuatu,97
Timor-Leste,94
Ecuador,92
Maldives,90
Nauru,89
Bahrain,87
Fiji,87
Guyana,87
Botswana,86
Jamaica,86
Oman,82
Papua New Guinea,82
Saudi Arabia,82
China,81
Belarus,79
Bolivia,79
Thailand,79
Namibia,78
Lesotho,77
Suriname,77
Kazakhstan,75
eSwatini,74
Malawi,73
Indonesia,72
Kenya,72
Tanzania,71
Tunisia,71
Dominican Republic,70
Zambia,70
Azerbaijan,69
The Gambia,68
Philippines,67
Uganda,66
Armenia,65
Cape Verde Islands,65
Morocco,65
Zimbabwe,65
Cuba,64
Ghana,64
Sierra Leone,64
Kyrgyzstan,63
Mongolia,61
Mozambique,61
Benin,60
India,60
Rwanda,60
Sao Tome and Principe,59
Tajikistan,59
Uzbekistan,59
Mauritania,58
Burkina Faso,57
Cote d'Ivoire,56
Gabon,56
Senegal,56
Equatorial Guinea,55
Guinea,55
Vietnam,55
Cambodia,54
Madagascar,54
Togo,54
Egypt,53
Jordan,53
Mali,53
Niger,53
Algeria,52
Bhutan,52
Central African Republic,52
Chad,52
Comoro Islands,52
Guinea-Bissau,52
Turkmenistan,52
Cameroon,51
Angola,50
Burundi,49
Congo (Rep.),49
Liberia,49
Djibouti,48
Haiti,48
Myanmar,47
Ethiopia,46
Nigeria,46
Eritrea,44
Iran,44
South Sudan,44
Congo (Dem. Rep.),42
Sudan,42
Kosovo,41
Lebanon,41
Sri Lanka,41
Bangladesh,40
Libya,40
North Korea,40
Palestinian Territory,38
Nepal,37
Somalia,35
Yemen,34
Pakistan,32
Syria,30
Iraq,29
Afghanistan,27
