"char_id","char_name","uni_id","uni_name","question","personality","avg_rating","rank","rating_sd","number_ratings"
"HP3","Hermione Granger","HP","Harry Potter","high IQ/low IQ","high IQ",97.6,8,5.9,342
"HP3","Hermione Granger","HP","Harry Potter","competent/incompetent","competent",97.3,4,6.7,335
"HP3","Hermione Granger","HP","Harry Potter","diligent/lazy","diligent",97.1,6,5.8,341
"HP3","Hermione Granger","HP","Harry Potter","motivated/unmotivated","motivated",97.1,10,6.3,44
"HP3","Hermione Granger","HP","Harry Potter","disorganized/self-disciplined","self-disciplined",96.9,9,8.4,376
"HP3","Hermione Granger","HP","Harry Potter","persistent/quitter","persistent",96.4,24,6.6,124
"HP3","Hermione Granger","HP","Harry Potter","loyal/traitorous","loyal",96.3,18,7.1,384
"HP3","Hermione Granger","HP","Harry Potter","slacker/workaholic","workaholic",96.2,12,7.8,102
"HP3","Hermione Granger","HP","Harry Potter","important/irrelevant","important",96,13,8.6,214
"HP3","Hermione Granger","HP","Harry Potter","devoted/unfaithful","devoted",95.7,16,7.2,36
"HP3","Hermione Granger","HP","Harry Potter","precise/vague","precise",95.4,2,7.4,310
"HP3","Hermione Granger","HP","Harry Potter","ignorant/knowledgeable","knowledgeable",95.4,14,8.4,59
"HP3","Hermione Granger","HP","Harry Potter","on-time/tardy","on-time",95.1,14,12.6,72
"HP3","Hermione Granger","HP","Harry Potter","driven/unambitious","driven",94.9,29,12.9,314
"HP3","Hermione Granger","HP","Harry Potter","helpless/resourceful","resourceful",94.9,20,11.8,113
"HP3","Hermione Granger","HP","Harry Potter","dunce/genius","genius",94.7,12,10.4,371
"HP3","Hermione Granger","HP","Harry Potter","goof-off/studious","studious",94.6,8,11.5,164
"HP3","Hermione Granger","HP","Harry Potter","feminist/sexist","feminist",94.4,22,9.4,177
"HP3","Hermione Granger","HP","Harry Potter","heroic/villainous","heroic",94.3,18,9.7,368
"HP3","Hermione Granger","HP","Harry Potter","overachiever/underachiever","overachiever",94.1,25,15.3,72
"HP3","Hermione Granger","HP","Harry Potter","noob/pro","pro",93.6,58,12.2,130
"HP3","Hermione Granger","HP","Harry Potter","drop out/valedictorian","valedictorian",93.5,40,16.4,149
"HP3","Hermione Granger","HP","Harry Potter","bookish/sporty","bookish",93.1,50,11.1,368
"HP3","Hermione Granger","HP","Harry Potter","go-getter/slugabed","go-getter",92.8,18,15,118
"HP3","Hermione Granger","HP","Harry Potter","🌟/💩","🌟",92.7,25,11,143
"HP3","Hermione Granger","HP","Harry Potter","foolish/wise","wise",92.5,14,10,367
"HP3","Hermione Granger","HP","Harry Potter","trash/treasure","treasure",92.5,30,13.5,156
"HP3","Hermione Granger","HP","Harry Potter","badass/weakass","badass",92.3,126,11.8,60
"HP3","Hermione Granger","HP","Harry Potter","intellectual/physical","intellectual",91.6,54,12.3,375
"HP3","Hermione Granger","HP","Harry Potter","messy/neat","neat",91.5,42,13.5,317
"HP3","Hermione Granger","HP","Harry Potter","alert/oblivious","alert",91.4,27,14.5,133
"HP3","Hermione Granger","HP","Harry Potter","active/slothful","active",91.2,80,12.5,344
"HP3","Hermione Granger","HP","Harry Potter","princess/queen","queen",91.2,58,17.2,39
"HP3","Hermione Granger","HP","Harry Potter","jock/nerd","nerd",90.9,112,13.9,365
"HP3","Hermione Granger","HP","Harry Potter","plays hard/works hard","works hard",90.6,28,15.5,347
"HP3","Hermione Granger","HP","Harry Potter","codependent/independent","independent",90.6,41,14.8,409
"HP3","Hermione Granger","HP","Harry Potter","beautiful/ugly","beautiful",90.5,234,15.8,126
"HP3","Hermione Granger","HP","Harry Potter","pointed/random","pointed",90.4,41,13.8,57
"HP3","Hermione Granger","HP","Harry Potter","egalitarian/racist","egalitarian",90.2,113,14.4,137
"HP3","Hermione Granger","HP","Harry Potter","antagonist/protagonist","protagonist",89.9,63,17.6,38
"HP3","Hermione Granger","HP","Harry Potter","chaotic/orderly","orderly",89.8,31,16.5,366
"HP3","Hermione Granger","HP","Harry Potter","perceptive/unobservant","perceptive",89.5,161,22.3,51
"HP3","Hermione Granger","HP","Harry Potter","disreputable/prestigious","prestigious",89.4,26,15.2,367
"HP3","Hermione Granger","HP","Harry Potter","healthy/sickly","healthy",89.2,49,14.2,363
"HP3","Hermione Granger","HP","Harry Potter","rational/whimsical","rational",89.1,21,16.3,395
"HP3","Hermione Granger","HP","Harry Potter","soulful/soulless","soulful",88.9,120,16.8,105
"HP3","Hermione Granger","HP","Harry Potter","juvenile/mature","mature",88.9,75,15.7,121
"HP3","Hermione Granger","HP","Harry Potter","involved/remote","involved",88.8,15,14.7,360
"HP3","Hermione Granger","HP","Harry Potter","bored/interested","interested",88.6,22,19.8,59
"HP3","Hermione Granger","HP","Harry Potter","artistic/scientific","scientific",88.2,62,13.8,348
"HP3","Hermione Granger","HP","Harry Potter","scheduled/spontaneous","scheduled",88.2,90,17.4,385
"HP3","Hermione Granger","HP","Harry Potter","extraordinary/mundane","extraordinary",88.2,102,18.6,381
"HP3","Hermione Granger","HP","Harry Potter","assertive/passive","assertive",88.2,114,13.9,351
"HP3","Hermione Granger","HP","Harry Potter","ludicrous/sensible","sensible",87.9,23,18.9,358
"HP3","Hermione Granger","HP","Harry Potter","mighty/puny","mighty",87.9,93,16.6,370
"HP3","Hermione Granger","HP","Harry Potter","fresh/stinky","fresh",87.7,97,16.7,196
"HP3","Hermione Granger","HP","Harry Potter","barbaric/civilized","civilized",87.6,139,14.5,356
"HP3","Hermione Granger","HP","Harry Potter","confidential/gossiping","confidential",87.6,122,14.7,441
"HP3","Hermione Granger","HP","Harry Potter","English/German","English",87.6,47,22.2,67
"HP3","Hermione Granger","HP","Harry Potter","eloquent/unpolished","eloquent",87.5,103,15.3,286
"HP3","Hermione Granger","HP","Harry Potter","exaggerating/factual","factual",87.5,33,16.7,44
"HP3","Hermione Granger","HP","Harry Potter","clean/perverted","clean",87.5,121,19.5,80
"HP3","Hermione Granger","HP","Harry Potter","desperate/high standards","high standards",87.5,60,16.5,92
"HP3","Hermione Granger","HP","Harry Potter","cruel/kind","kind",87.4,228,14.7,377
"HP3","Hermione Granger","HP","Harry Potter","attractive/repulsive","attractive",87.2,223,18.2,337
"HP3","Hermione Granger","HP","Harry Potter","deranged/reasonable","reasonable",87.2,50,19,126
"HP3","Hermione Granger","HP","Harry Potter","clumsy/coordinated","coordinated",87.1,207,18,377
"HP3","Hermione Granger","HP","Harry Potter","legit/scrub","legit",87,81,16.1,170
"HP3","Hermione Granger","HP","Harry Potter","fast/slow","fast",86.7,91,15.6,370
"HP3","Hermione Granger","HP","Harry Potter","emancipated/enslaved","emancipated",86.6,37,17.6,332
"HP3","Hermione Granger","HP","Harry Potter","enlightened/lost","enlightened",86.6,20,18.4,52
"HP3","Hermione Granger","HP","Harry Potter","apprentice/master","master",86.4,228,16.8,174
"HP3","Hermione Granger","HP","Harry Potter","nonpolitical/political","political",86.4,89,19.7,336
"HP3","Hermione Granger","HP","Harry Potter","flimsy/sturdy","sturdy",86.1,134,16.9,75
"HP3","Hermione Granger","HP","Harry Potter","folksy/presidential","presidential",86.1,60,18.2,50
"HP3","Hermione Granger","HP","Harry Potter","neutral/opinionated","opinionated",86.1,338,22.9,75
"HP3","Hermione Granger","HP","Harry Potter","apathetic/curious","curious",86,74,21.4,358
"HP3","Hermione Granger","HP","Harry Potter","lewd/tasteful","tasteful",85.9,48,18.4,354
"HP3","Hermione Granger","HP","Harry Potter","alpha/beta","alpha",85.9,251,18.1,354
"HP3","Hermione Granger","HP","Harry Potter","direct/roundabout","direct",85.8,138,16.5,383
"HP3","Hermione Granger","HP","Harry Potter","animalistic/human","human",85.7,134,17,336
"HP3","Hermione Granger","HP","Harry Potter","nurturing/poisonous","nurturing",85.5,131,17,152
"HP3","Hermione Granger","HP","Harry Potter","consistent/variable","consistent",85.4,32,16.4,55
"HP3","Hermione Granger","HP","Harry Potter","dominant/submissive","dominant",85.3,325,15.1,398
"HP3","Hermione Granger","HP","Harry Potter","cringeworthy/inspiring","inspiring",85.2,74,20.3,127
"HP3","Hermione Granger","HP","Harry Potter","💪/🧠","🧠",85.2,251,21.4,157
"HP3","Hermione Granger","HP","Harry Potter","🏌/🤺","🤺",85.2,172,20.3,124
"HP3","Hermione Granger","HP","Harry Potter","indiscreet/tactful","tactful",85.1,35,19.6,139
"HP3","Hermione Granger","HP","Harry Potter","👨‍⚕️/👨‍🔧","👨‍⚕️",85,91,23,133
"HP3","Hermione Granger","HP","Harry Potter","🤣/😊","😊",84.9,40,15.9,135
"HP3","Hermione Granger","HP","Harry Potter","bossy/meek","bossy",84.8,325,15.2,361
"HP3","Hermione Granger","HP","Harry Potter","fantastical/realistic","realistic",84.8,72,17.6,60
"HP3","Hermione Granger","HP","Harry Potter","ADHD/OCD","OCD",84.6,71,19.9,54
"HP3","Hermione Granger","HP","Harry Potter","deliberate/spontaneous","deliberate",84.5,159,19.5,383
"HP3","Hermione Granger","HP","Harry Potter","down2earth/head@clouds","down2earth",84.5,72,21.2,346
"HP3","Hermione Granger","HP","Harry Potter","frenzied/sleepy","frenzied",84.5,82,11.7,54
"HP3","Hermione Granger","HP","Harry Potter","altruistic/selfish","altruistic",84.3,118,17.3,379
"HP3","Hermione Granger","HP","Harry Potter","rhythmic/stuttering","rhythmic",84.2,124,18,62
"HP3","Hermione Granger","HP","Harry Potter","bad boy/white knight","white knight",84.2,118,19.4,39
"HP3","Hermione Granger","HP","Harry Potter","resolute/wavering","resolute",84.1,114,18.6,120
"HP3","Hermione Granger","HP","Harry Potter","🧗/🛌","🧗",83.9,226,19.7,203
"HP3","Hermione Granger","HP","Harry Potter","instinctual/reasoned","reasoned",83.8,22,22,390
"HP3","Hermione Granger","HP","Harry Potter","crafty/scholarly","scholarly",83.8,51,20.7,445
"HP3","Hermione Granger","HP","Harry Potter","relaxed/tense","tense",83.7,291,14.8,353
"HP3","Hermione Granger","HP","Harry Potter","hoarder/unprepared","hoarder",83.6,18,15.4,317
"HP3","Hermione Granger","HP","Harry Potter","bright/depressed","bright",83.5,53,18.4,361
"HP3","Hermione Granger","HP","Harry Potter","deep/shallow","deep",83.5,93,19.3,151
"HP3","Hermione Granger","HP","Harry Potter","jealous/opinionated","opinionated",83.4,89,19.8,37
"HP3","Hermione Granger","HP","Harry Potter","charismatic/uninspiring","charismatic",83.4,301,18.3,290
"HP3","Hermione Granger","HP","Harry Potter","cannibal/vegan","vegan",83.4,56,21,56
"HP3","Hermione Granger","HP","Harry Potter","playful/serious","serious",83.3,241,13.8,354
"HP3","Hermione Granger","HP","Harry Potter","giving/receiving","giving",83.3,140,17.2,53
"HP3","Hermione Granger","HP","Harry Potter","decisive/hesitant","decisive",83.2,254,19.6,363
"HP3","Hermione Granger","HP","Harry Potter","bold/shy","bold",83.1,650,17.8,329
"HP3","Hermione Granger","HP","Harry Potter","self-destructive/self-improving","self-improving",83.1,24,21,62
"HP3","Hermione Granger","HP","Harry Potter","👩‍🎤/👩‍🔬","👩‍🔬",83,113,22.3,137
"HP3","Hermione Granger","HP","Harry Potter","lenient/strict","strict",82.8,183,15.5,358
"HP3","Hermione Granger","HP","Harry Potter","cultured/rustic","cultured",82.8,96,20.7,48
